Time [s],AccX [m/s^2],AccY [m/s^2],AccZ [m/s^2],GyroX [rad/s],GyroY [rad/s],GyroZ [rad/s]
23.5,-0.00300032193,0.181967309,0.0338546511,6.45708272e-05,3.39166162e-05,0.202157376
23.6,0.00184359544,0.181991937,0.0338570169,6.52084939e-05,3.26044596e-05,0.202197736
23.7,0.00668179423,0.181810485,0.0338593753,6.58191811e-05,3.1279118e-05,0.2019005
23.8,0.011499301,0.181423861,0.0338617252,6.64018854e-05,2.99434002e-05,0.201267928
23.9,0.0162813238,0.180833989,0.0338640653,6.69558029e-05,2.86001975e-05,0.200304803
24,0.0210133791,0.180043779,0.0338663946,6.74803259e-05,2.725243e-05,0.19901834
24.1,0.0256814126,0.179057084,0.033868712,6.79750685e-05,2.59030437e-05,0.197418048
24.2,0.0302719105,0.177878643,0.0338710163,6.84397702e-05,2.45549563e-05,0.195515553
24.3,0.0347720004,0.176514006,0.0338733066,6.88746369e-05,2.32110548e-05,0.193324388
24.4,0.0391695391,0.174969461,0.0338755816,6.927951e-05,2.18741479e-05,0.190859753
24.5,0.043453186,0.173251943,0.0338778403,6.96549149e-05,2.05469543e-05,0.188138258
24.6,0.0476124629,0.171368943,0.0338800815,7.00014587e-05,1.92320779e-05,0.185177655
24.7,0.0516377981,0.169328413,0.0338823043,7.03196989e-05,1.7931992e-05,0.18199656
24.8,0.0555205559,0.16713867,0.0338845075,7.06102471e-05,1.66490147e-05,0.178614185
24.9,0.0592530518,0.164808302,0.0338866901,7.08743334e-05,1.53853052e-05,0.175050074
25,0.0628285546,0.162346076,0.033888851,7.11127573e-05,1.41428537e-05,0.171323855
25.1,0.0662412762,0.15976085,0.0338909892,7.13266012e-05,1.29234671e-05,0.167455017
25.2,0.0694863505,0.157061493,0.0338931037,7.15172065e-05,1.17287763e-05,0.163462695
25.3,0.0725598026,0.15425681,0.0338951934,7.16854584e-05,1.05602271e-05,0.1593655
25.4,0.0754585113,0.151355478,0.0338972573,7.18327023e-05,9.41908247e-06,0.155181354
25.5,0.0781801641,0.148365983,0.0338992946,7.19605184e-05,8.30643373e-06,0.150927371
25.6,0.080723208,0.145296573,0.0339013041,7.20696843e-05,7.2232011e-06,0.146619747
25.7,0.083086797,0.142155213,0.0339032851,7.21616721e-05,6.17013435e-06,0.14227369
25.8,0.0852707375,0.138949554,0.0339052364,7.2237837e-05,5.14783746e-06,0.137903362
